ANO;MES;DATA;EMPRESA;FAZENDA;UF;MUNICIPIO;AREA_T;AREA_PRODU;PRECIP_CHIRPS_MM;TEMP_MEDIA_C;UMID_MEDIA_PCT;TEMP_MIN_C;UMID_MIN_PCT;TEMP_MAX_C;UMID_MAX_PCT;NOITES_FRIAS_Eucalipto_<15C;NOITES_FRIAS_Pinus_<5C;DIRECAO_VENTO_GRAUS
2000.0;1.0;2000-01-01;BRASPINE;AGUA DOCE;PR;JAGUARIAIVA;238,97;121,99;83,98;20,59;83,84;11,22;41,56;28,80;99,84;66,85;0,00;9,82
2000.0;1.0;2000-01-01;BRASPINE;AMATA;;;;;207,65;22,18;83,63;12,98;35,65;31,73;99,99;27,69;0,00;2,01
2000.0;1.0;2000-01-01;BRASPINE;ANTA BRAVA;;;;;119,52;23,07;80,33;14,65;40,99;31,03;98,48;29,34;0,00;5,93
2000.0;1.0;2000-01-01;BRASPINE;ARAPONGAS;PR;SENGES;423,34;263,70;142,35;20,64;85,48;11,53;39,02;29,64;100,00;67,57;0,00;0,70
2000.0;1.0;2000-01-01;BRASPINE;ARROIO CLARO;PR;DOUTOR ULYSSES;275,14;92,00;204,85;20,82;85,46;11,45;38,37;30,10;100,00;68,43;0,00;5,95
2000.0;1.0;2000-01-01;BRASPINE;BARRA GRANDE;PR;DOUTOR ULYSSES;493,79;139,68;176,71;21,14;85,55;11,70;39,67;30,42;100,00;54,66;0,00;9,59
2000.0;1.0;2000-01-01;BRASPINE;BARRA GRANDE - BEMAIS;PR;GUARAPUAVA;299,16;108,61;185,24;20,24;84,51;12,23;42,00;27,98;99,95;80,58;0,00;2,54
2000.0;1.0;2000-01-01;BRASPINE;BARRETOS;PR;JAGUARIAIVA;43,35;32,98;138,55;20,60;85,17;11,75;39,38;29,20;99,97;67,94;0,00;8,02
2000.0;1.0;2000-01-01;BRASPINE;BAU;;;;;139,79;20,42;83,67;12,99;46,15;27,83;99,84;68,47;0,00;0,42
2000.0;1.0;2000-01-01;BRASPINE;BOA VISTA II;PR;PIRAI DO SUL;944,00;535,05;149,12;20,61;84,63;11,34;40,59;29,05;99,93;67,25;0,00;10,55
2000.0;1.0;2000-01-01;BRASPINE;BRASILEIRA;;;;;170,78;20,64;85,48;11,53;39,02;29,64;100,00;67,57;0,00;0,70
2000.0;1.0;2000-01-01;BRASPINE;BURACAO;;;;;136,32;20,59;84,57;11,84;39,51;29,29;99,84;68,45;0,00;0,38
2000.0;1.0;2000-01-01;BRASPINE;BURRINHO;PR;DOUTOR ULYSSES;211,01;100,37;204,86;20,82;85,46;11,45;38,37;30,10;100,00;68,43;0,00;5,95
2000.0;1.0;2000-01-01;BRASPINE;CADEADO I;PR;JAGUARIAIVA;21,07;12,29;165,03;20,44;85,26;11,67;38,66;29,21;100,00;66,44;0,00;4,61
2000.0;1.0;2000-01-01;BRASPINE;CADEADO II;PR;JAGUARIAIVA;21,88;16,79;165,03;20,44;85,26;11,67;38,66;29,21;100,00;66,44;0,00;4,61
2000.0;1.0;2000-01-01;BRASPINE;CAMPINA ALTA;PR;TIBAGI;29,77;18,24;153,36;21,60;83,08;13,24;41,17;29,59;99,89;40,25;0,00;10,39
2000.0;1.0;2000-01-01;BRASPINE;CAMPINA DO ELIAS;PR;JAGUARIAIVA;29,17;14,65;166,50;20,54;85,20;11,72;39,12;29,21;99,98;67,40;0,00;6,89
2000.0;1.0;2000-01-01;BRASPINE;CAMPO NOVO;PR;JAGUARIAIVA;295,98;156,36;116,41;20,44;85,26;11,67;38,66;29,21;100,00;66,44;0,00;4,61
2000.0;1.0;2000-01-01;BRASPINE;CONSULTORIA II A;PR;DOUTOR ULYSSES;89,62;60,79;181,49;20,64;85,48;11,53;39,02;29,64;100,00;67,57;0,00;0,70
2000.0;1.0;2000-01-01;BRASPINE;DINIZ;;;;;172,48;20,64;85,48;11,53;39,02;29,64;100,00;67,57;0,00;0,70
2000.0;1.0;2000-01-01;BRASPINE;ENES;PR;JAGUARIAIVA;5,93;5,69;112,76;20,44;85,26;11,67;38,66;29,21;100,00;66,44;0,00;4,61
2000.0;1.0;2000-01-01;BRASPINE;ENGENHARIA;;;;;172,48;20,64;85,48;11,53;39,02;29,64;100,00;67,57;0,00;0,70
2000.0;1.0;2000-01-01;BRASPINE;ESTACAO;PR;SENGES;4,76;4,14;175,08;20,44;85,26;11,67;38,66;29,21;100,00;66,44;0,00;4,61
2000.0;1.0;2000-01-01;BRASPINE;FAXINAL;PR;JAGUARIAIVA;20,65;20,65;112,76;20,44;85,26;11,67;38,66;29,21;100,00;66,44;0,00;4,61
2000.0;1.0;2000-01-01;BRASPINE;FEITAL;PR;DOUTOR ULYSSES;154,17;86,53;176,80;20,81;85,50;11,59;39,23;29,90;100,00;68,34;0,00;13,67
